term_key,definition,jurisdiction,source_file
ab initio,Desde el principio.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
abrogar,"Anular, derogación total de una ley o reglamento. La abrogación puede ser expresa, por explicita manifestación del legislador o tácita, por incompatibilidad entre los dos textos legales, que se resuelve en principio a favor de la ley posterior, en otros casos con preferencia por la ley especial frente a la general.",mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
abuso,"Jurídicamente se entiende por abuso el hecho de usar de un poder de una facultad de un derecho o de una situación especial como así mismo de una cosa u objeto, mas allá de lo que resulta licito por la naturaleza o por la costumbre y también, con fines distintos de los autorizados por el ordenamiento legal.",mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
abuso de confianza,La actividad de la vida económica moderna exige la circulación de piezas firmadas en blanco y confiadas a personas con facultad de llenarlas. Esta circunstancia determina un constante peligro atribuible a la eventual mala fe del tenedor.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
accesorio,"De tal forma, en el Derecho de las Obligaciones son accesorias las que tienen por objeto asegurar el cumplimiento de otras, que, por contraposición, se consideran principales; así, la fianza, la hipoteca, la prenda son garantías accesorias de un préstamo, de una deuda, de un compromiso contraído, de un puesto que se desempeña. En el Derecho de los Contratos son accesorios los unidos y subordinados a otros. En el Derecho Penal constituyen delitos accesorios los perpetrados para la ejecución de otro u otros, los que el delincuente se proponía en verdad realizar; como ejemplo típico, la rotura de puertas o ventanas para entrar en un lugar y robarlo. En el Derecho Procesal se estiman partes accesorias del juicio las diligencias de citación y de prueba, al igual que los incidentes, sobre los cuales entiende el mismo juez que en lo principal, pero a razón del criterio general establecido.",mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
accion,Derecho que se tiene a pedir alguna cosa o la forma legal de ejercer ésta.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
accion cautelar,Facultad de lograr una medida de seguridad o cautela. Como por ejemplo un embargo preventivo.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
accion civil,Es la acción que tiene por objeto perseguir las responsabilidades civiles derivadas del hecho punible.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
accion penal privada,Es aquella acción que sólo puede ser ejercida por la víctima del delito. 1 Victor Manuel Alfaro Jiménez,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
glosario de terminos de derecho procesal civil accion penal publica,Es aquella ejercida de oficio por el Ministerio Público para la persecución de un delito cuando no existe una regla especial a su respeto.,mexico,GLOSARIO_DE_DERECHO_PROCESAL_CIVIL-MEXICO (1).pdf
